Symbol,Category,Detail,Sector
^GSPC,IDX,SPX,Index
^NDX,IDX,NDX,Index
^VIX,IDX,VIX,Index
^FTSE,IDX,FTSE,Index
^RUT,IDX,RUSSELL 2000,Index
^HSI,IDX,HANG SENG,Index
ABT,SPX,Abbott Laboratories,Health Care
ABBV,SPX,AbbVie,Health Care
ACE,SPX,ACE Limited,Financials
ACN,SPX,Accenture plc,Information Technology
ACT,SPX,Actavis plc,Health Care
ADBE,SPX,Adobe Systems Inc,Information Technology
ADT,SPX,ADT Corp,Industrials
AES,SPX,AES Corp,Utilities
AET,SPX,Aetna Inc,Health Care
AFL,SPX,AFLAC Inc,Financials
AMG,SPX,Affiliated Managers Group Inc,Financials
A,SPX,Agilent Technologies Inc,Health Care
GAS,SPX,AGL Resources Inc.,Utilities
APD,SPX,Air Products & Chemicals Inc,Materials
ARG,SPX,Airgas Inc,Materials
AKAM,SPX,Akamai Technologies Inc,Information Technology
AA,SPX,Alcoa Inc,Materials
ALXN,SPX,Alexion Pharmaceuticals,Health Care
ATI,SPX,Allegheny Technologies Inc,Materials
ALLE,SPX,Allegion,Industrials
AGN,SPX,Allergan Inc,Health Care
ADS,SPX,Alliance Data Systems,Information Technology
ALL,SPX,Allstate Corp,Financials
ALTR,SPX,Altera Corp,Information Technology
MO,SPX,Altria Group Inc,Consumer Staples
AMZN,SPX,Amazon.com Inc,Consumer Discretionary
AEE,SPX,Ameren Corp,Utilities
AEP,SPX,American Electric Power,Utilities
AXP,SPX,American Express Co,Financials
AIG,SPX,American International Group,Financials
AMT,SPX,American Tower Corp A,Financials
AMP,SPX,Ameriprise Financial,Financials
ABC,SPX,AmerisourceBergen Corp,Health Care
AME,SPX,Ametek,Industrials
AMGN,SPX,Amgen Inc,Health Care
APH,SPX,Amphenol Corp A,Industrials
APC,SPX,Anadarko Petroleum Corp,Energy
ADI,SPX,Analog Devices,Information Technology
AON,SPX,Aon plc,Financials
APA,SPX,Apache Corporation,Energy
AIV,SPX,Apartment Investment & Mgmt,Financials
AAPL,SPX,Apple Inc.,Information Technology
AMAT,SPX,Applied Materials Inc,Information Technology
ADM,SPX,Archer-Daniels-Midland Co,Consumer Staples
AIZ,SPX,Assurant Inc,Financials
T,SPX,AT&T Inc,Telecommunications Services
ADSK,SPX,Autodesk Inc,Information Technology
ADP,SPX,Automatic Data Processing,Information Technology
AN,SPX,AutoNation Inc,Consumer Discretionary
AZO,SPX,AutoZone Inc,Consumer Discretionary
AVGO,SPX,Avago Technologies,Information Technology
AVB,SPX,AvalonBay Communities,Financials
AVY,SPX,Avery Dennison Corp,Materials
AVP,SPX,Avon Products,Consumer Staples
BHI,SPX,Baker Hughes Inc,Energy
BLL,SPX,Ball Corp,Materials
